N,RunID,GFLOPS
128,1,0.181631
128,2,52.988512
128,3,64.677155
128,4,79.964482
128,5,74.860366
128,6,65.398461
128,7,80.329617
128,8,70.651350
128,9,78.536545
128,10,78.536545
128,11,80.698101
128,12,77.498617
128,13,77.841531
128,14,81.824121
128,15,77.158711
128,16,77.841531
128,17,80.698101
128,18,80.698101
128,19,80.329617
128,20,77.498617
128,21,77.498617
128,22,80.329617
128,23,74.228633
128,24,75.180282
128,25,81.069982
128,26,80.329617
128,27,68.186768
128,28,77.158711
128,29,78.187494
128,30,80.329617
128,31,75.828388
128,32,79.244081
128,33,72.395827
128,34,70.368744
128,35,74.860366
128,36,74.543161
128,37,79.602652
128,38,71.223425
128,39,75.828388
128,40,76.487765
128,41,79.244081
128,42,77.498617
128,43,78.536545
128,44,80.698101
128,45,79.964482
128,46,68.988965
128,47,72.996623
128,48,78.536545
128,49,74.228633
128,50,81.069982
128,51,59.232950
128,52,68.452086
128,53,76.487765
128,54,75.180282
128,55,77.841531
128,56,59.034181
128,57,73.916748
128,58,58.836743
128,59,75.828388
128,60,77.498617
128,61,76.487765
128,62,57.869033
128,63,55.495855
128,64,56.566515
128,65,75.502944
128,66,55.495855
128,67,58.060020
128,68,66.637068
128,69,81.445306
128,70,78.187494
128,71,76.487765
128,72,58.445801
128,73,57.490804
128,74,58.836743
128,75,76.821773
128,76,58.252272
128,77,63.054430
128,78,63.054430
128,79,78.536545
128,80,58.640620
128,81,58.445801
128,82,67.403012
128,83,56.748987
128,84,66.637068
128,85,79.244081
128,86,71.512951
128,87,63.054430
128,88,58.640620
128,89,59.433061
128,90,57.303538
128,91,66.637068
128,92,59.232950
128,93,69.260575
128,94,55.671475
128,95,71.804841
128,96,67.145748
128,97,58.060020
128,98,76.821773
128,99,77.498617
128,100,66.637068
128,101,65.888337
128,102,66.136038
128,103,58.252272
128,104,65.156245
128,105,65.156245
128,106,62.829236
128,107,56.932641
128,108,58.445801
128,109,57.679299
128,110,63.739805
128,111,62.829236
128,112,65.398461
128,113,57.303538
128,114,57.869033
128,115,56.205067
128,116,65.888337
128,117,59.433061
128,118,65.642485
128,119,65.642485
128,120,63.509697
128,121,60.662710
128,122,79.244081
128,123,63.054430
128,124,60.662710
128,125,66.890441
128,126,62.605644
128,127,56.385212
128,128,61.083979
128,129,70.368744
128,130,71.804841
128,131,69.260575
128,132,67.403012
128,133,68.452086
128,134,66.890441
128,135,72.099123
128,136,71.223425
128,137,72.395827
128,138,64.205059
128,139,71.223425
128,140,74.228633
128,141,80.329617
128,142,78.536545
128,143,79.602652
128,144,78.187494
128,145,70.088391
128,146,76.156650
128,147,79.244081
128,148,70.936234
128,149,76.487765
128,150,78.536545
128,151,81.069982
128,152,78.888727
128,153,79.602652
128,154,68.186768
128,155,81.069982
128,156,62.605644
128,157,77.841531
128,158,77.158711
128,159,60.454248
128,160,79.602652
128,161,79.602652
128,162,78.888727
128,163,79.602652
128,164,69.810262
128,165,77.498617
128,166,77.841531
128,167,80.329617
128,168,79.602652
128,169,77.498617
128,170,74.543161
128,171,71.223425
128,172,80.329617
128,173,78.888727
128,174,78.187494
128,175,75.180282
128,176,74.543161
128,177,78.536545
128,178,73.300775
128,179,80.698101
128,180,63.281245
128,181,74.228633
128,182,79.602652
128,183,77.498617
128,184,63.281245
128,185,78.187494
128,186,74.860366
128,187,78.888727
128,188,78.187494
128,189,77.498617
128,190,59.634529
128,191,76.156650
128,192,79.602652
128,193,76.821773
128,194,79.964482
128,195,79.964482
128,196,74.543161
128,197,80.698101
128,198,78.187494
128,199,77.158711
128,200,78.888727
128,201,77.841531
128,202,79.602652
128,203,80.329617
128,204,61.296815
128,205,67.145748
128,206,79.244081
128,207,77.498617
128,208,56.932641
128,209,80.329617
128,210,66.136038
128,211,75.180282
128,212,67.145748
128,213,68.186768
128,214,75.180282
128,215,81.069982
128,216,78.187494
128,217,79.964482
128,218,81.069982
128,219,78.536545
128,220,63.281245
128,221,81.445306
128,222,78.888727
128,223,72.996623
128,224,80.698101
128,225,79.964482
128,226,76.156650
128,227,76.821773
128,228,78.536545
128,229,80.329617
128,230,79.602652
128,231,79.244081
128,232,79.244081
128,233,67.662254
128,234,59.034181
128,235,77.498617
128,236,63.971586
128,237,80.698101
128,238,75.180282
128,239,76.821773
128,240,60.662710
128,241,79.602652
128,242,75.180282
128,243,77.841531
128,244,79.602652
128,245,79.602652
128,246,77.498617
128,247,77.841531
128,248,70.368744
128,249,67.403012
128,250,71.804841
256,1,72.883215
256,2,143.025903
256,3,164.605250
256,4,159.928964
256,5,165.573516
256,6,165.964019
256,7,166.948385
256,8,167.146661
256,9,154.148399
256,10,159.025411
256,11,165.378952
256,12,166.750579
256,13,144.050653
256,14,167.146661
256,15,117.477035
256,16,123.997787
256,17,164.991194
256,18,166.948385
256,19,160.842844
256,20,166.750579
256,21,166.553241
256,22,165.378952
256,23,164.991194
256,24,103.788708
256,25,143.903362
256,26,142.735789
256,27,157.954532
256,28,166.553241
256,29,156.897980
256,30,164.797996
256,31,166.948385
256,32,166.553241
256,33,134.935272
256,34,164.412954
256,35,163.268548
256,36,165.573516
256,37,166.553241
256,38,165.378952
256,39,159.566313
256,40,164.412954
256,41,165.964019
256,42,164.221107
256,43,167.345408
256,44,166.750579
256,45,163.458175
256,46,163.838752
256,47,165.768538
256,48,166.553241
256,49,163.458175
256,50,166.948385
256,51,161.396202
256,52,164.605250
256,53,164.029707
256,54,165.573516
256,55,166.553241
256,56,164.605250
256,57,165.378952
256,58,165.378952
256,59,166.159963
256,60,166.356369
256,61,164.797996
256,62,156.897980
256,63,164.605250
256,64,166.553241
256,65,156.548930
256,66,167.146661
256,67,147.678372
256,68,134.935272
256,69,157.777453
256,70,145.993245
256,71,163.268548
256,72,151.330633
256,73,164.221107
256,74,161.953381
256,75,162.326976
256,76,166.948385
256,77,164.797996
256,78,162.326976
256,79,166.750579
256,80,166.948385
256,81,166.750579
